BacDive_ID,Name,Oxygen,Gram,Tolerance
1770,Bogoriella caseilytica,"microaerophile, aerobe",Positive,Aerobes
5349,Enterococcus silesiacus,"microaerophile, aerobe",Positive,Aerobes
5350,Enterococcus termitis,"microaerophile, aerobe",Positive,Aerobes
6864,Fructobacillus durionis,"microaerophile, aerobe",Positive,Aerobes
24136,Lactobacillus heilongjiangensis,"microaerophile, aerobe",Positive,Aerobes
6399,Pediococcus argentinicus,"microaerophile, aerobe",Positive,Aerobes
6397,Pediococcus stilesii,"microaerophile, aerobe",Positive,Aerobes
14825,Streptococcus minor,"microaerophile, aerobe",Positive,Aerobes
5267,Vagococcus carniphilus,"microaerophile, aerobe",Positive,Aerobes
140473,Aquaspirillum soli,microaerophile,Negative,Aerobes
2094,Arcobacter butzleri,microaerophile,Negative,Aerobes
2096,Arcobacter cibarius,microaerophile,Negative,Aerobes
132928,Arcobacter lekithochrous,microaerophile,Negative,Aerobes
2095,Arcobacter skirrowii,microaerophile,Negative,Aerobes
1634,Bartonella alsatica,microaerophile,Negative,Aerobes
1637,Bartonella bovis,microaerophile,Negative,Aerobes
1638,Bartonella capreoli,microaerophile,Negative,Aerobes
1639,Bartonella chomelii,microaerophile,Negative,Aerobes
1643,Bartonella japonica,microaerophile,Negative,Aerobes
1641,Bartonella queenslandensis,microaerophile,Negative,Aerobes
1642,Bartonella rattaustraliani,microaerophile,Negative,Aerobes
1644,Bartonella silvatica,microaerophile,Negative,Aerobes
379,Bordetella trematum,microaerophile,Negative,Aerobes
1789,Bosea massiliensis,microaerophile,Negative,Aerobes
133481,Campylobacter avium,microaerophile,Negative,Aerobes
2139,Campylobacter canadensis,microaerophile,Negative,Aerobes
2132,Campylobacter insulaenigrae,microaerophile,Negative,Aerobes
133526,Campylobacter subantarcticus,microaerophile,Negative,Aerobes
17910,Congregibacter litoralis,microaerophile,Negative,Aerobes
140321,Cysteiniphilum litorale,microaerophile,Negative,Aerobes
14027,Elstera litoralis,microaerophile,Negative,Aerobes
140464,Endothiovibrio diazotrophicus,microaerophile,Negative,Aerobes
132150,Gilliamella apicola,microaerophile,Negative,Aerobes
134274,Helicobacter baculiformis,microaerophile,Negative,Aerobes
134194,Helicobacter equorum,microaerophile,Negative,Aerobes
11933,Hydrogenovibrio halophilus,microaerophile,Negative,Aerobes
140549,Kiloniella antarctica,microaerophile,Negative,Aerobes
133811,Magnetococcus marinus,microaerophile,Negative,Aerobes
133789,Magnetospira thiophila,microaerophile,Negative,Aerobes
7212,Methylosoma difficile,microaerophile,Negative,Aerobes
356,Oligella ureolytica,microaerophile,Negative,Aerobes
13124,Pseudomonas azotifigens,microaerophile,Negative,Aerobes
13879,Rhodoligotrophos appendicifer,microaerophile,Negative,Aerobes
13756,Roseisalinus antarcticus,microaerophile,Negative,Aerobes
132915,Snodgrassella alvi,microaerophile,Negative,Aerobes
65,Stella vacuolata,microaerophile,Negative,Aerobes
132643,Tepidibacillus decaturensis,microaerophile,Negative,Aerobes
525,Thermocrinis minervae,microaerophile,Negative,Aerobes
132082,Venenivibrio stagnispumantis,microaerophile,Negative,Aerobes
2243,Alkalibacterium kapii,microaerophile,Positive,Aerobes
5346,Enterococcus aquimarinus,microaerophile,Positive,Aerobes
5347,Enterococcus canintestini,microaerophile,Positive,Aerobes
5344,Enterococcus hermanniensis,microaerophile,Positive,Aerobes
5361,Enterococcus plantarum,microaerophile,Positive,Aerobes
5372,Erysipelothrix inopinata,microaerophile,Positive,Aerobes
1774,Georgenia thermotolerans,microaerophile,Positive,Aerobes
1357,Halolactibacillus halophilus,microaerophile,Positive,Aerobes
1358,Halolactibacillus miurensis,microaerophile,Positive,Aerobes
12585,Isoptericola hypogeus,microaerophile,Positive,Aerobes
23074,Lactobacillus kimchiensis,microaerophile,Positive,Aerobes
7462,Microbacterium yannicii,microaerophile,Positive,Aerobes
133608,Miniimonas arenae,microaerophile,Positive,Aerobes
24280,Paenibacillus pectinilyticus,microaerophile,Positive,Aerobes
24745,Thermogemmatispora carboxidivorans,microaerophile,Positive,Aerobes
7516,Alpinimonas psychrophila,microaerophile,Variable,Aerobes
11401,Aneurinibacillus terranovensis,microaerophile,Variable,Aerobes
11437,Brevibacillus levickii,microaerophile,Variable,Aerobes
,Acidipropionibacterium damnosum,microaerophile,NI,Aerobes
,Actinobacillus delphinicola,microaerophile,NI,Aerobes
,Actinobacillus pleuropneumoniae,microaerophile,NI,Aerobes
,Actinobacillus porcinus,microaerophile,NI,Aerobes
,Actinobacillus scotiae,microaerophile,NI,Aerobes
,Actinomyces hordeovulneris,microaerophile,NI,Aerobes
,Actinomyces radicidentis,microaerophile,NI,Aerobes
,Aerococcus vaginalis,microaerophile,NI,Aerobes
,Aggregatibacter segnis,microaerophile,NI,Aerobes
,Agromyces ramosus,microaerophile,NI,Aerobes
,Arcobacter cryaerophilus,microaerophile,NI,Aerobes
,Arcobacter defluvii,microaerophile,NI,Aerobes
,Avibacterium paragallinarum,microaerophile,NI,Aerobes
,Avibacterium volantium,microaerophile,NI,Aerobes
,Bacillus oryziterrae,microaerophile,NI,Aerobes
,Bartonella birtlesii,microaerophile,NI,Aerobes
,Bartonella florencae,microaerophile,NI,Aerobes
,Bartonella koehlerae,microaerophile,NI,Aerobes
,Bartonella quintana,microaerophile,NI,Aerobes
,Bartonella rochalimae,microaerophile,NI,Aerobes
,Bartonella schoenbuchensis,microaerophile,NI,Aerobes
,Basilea psittacipulmonis,microaerophile,NI,Aerobes
,Bibersteinia trehalosi,microaerophile,NI,Aerobes
,Borrelia bissettiae,microaerophile,NI,Aerobes
,Borrelia californiensis,microaerophile,NI,Aerobes
,Borrelia lanei,microaerophile,NI,Aerobes
,Borrelia turcica,microaerophile,NI,Aerobes
,Borrelia valaisiana,microaerophile,NI,Aerobes
,Borrelia yangtzensis,microaerophile,NI,Aerobes
,Borreliella bavariensis,microaerophile,NI,Aerobes
,Borreliella burgdorferi,microaerophile,NI,Aerobes
,Borreliella carolinensis,microaerophile,NI,Aerobes
,Borreliella garinii,microaerophile,NI,Aerobes
,Borreliella kurtenbachii,microaerophile,NI,Aerobes
,Borreliella sinica,microaerophile,NI,Aerobes
,Borreliella spielmanii,microaerophile,NI,Aerobes
,Campylobacter coli,microaerophile,NI,Aerobes
,Campylobacter jejuni subsp. jejuni,microaerophile,NI,Aerobes
,Campylobacter sputorum subsp. bubulus,microaerophile,NI,Aerobes
,Campylobacter sputorum subsp. sputorum,microaerophile,NI,Aerobes
